Data As Of,Jurisdiction,Year of Death,Month of Death,Time Period,Month Ending Date,Maternal Deaths,Live Births,Maternal Mortality Rate,Footnote,Group_Total,Group_Age,Subgroup_Total,Subgroup_Under 25 years,Subgroup_25-39 years,Subgroup_40 years and over,Subgroup_Hispanic,"Subgroup_American Indian or Alaska Native, Non-Hispanic","Subgroup_Asian, Non-Hispanic","Subgroup_Black, Non-Hispanic","Subgroup_Native Hawaiian or Other Pacific Islander, Non-Hispanic"
10/06/2024,United States,2019,1,12 month-ending,01/31/2019,0.5284227381905524,0.9999999999999999,0.12262156448202959,,1,0,1,0,0,0,0,0,0,0,0
10/06/2024,United States,2019,2,12 month-ending,02/28/2019,0.5228182546036829,0.9988653822486709,0.1219168428470754,,1,0,1,0,0,0,0,0,0,0,0
10/06/2024,United States,2019,3,12 month-ending,03/31/2019,0.5260208166533227,0.995740485633336,0.12262156448202959,,1,0,1,0,0,0,0,0,0,0,0
10/06/2024,United States,2019,4,12 month-ending,04/30/2019,0.5348278622898318,0.9958868452359684,0.12473572938689216,,1,0,1,0,0,0,0,0,0,0,0
10/06/2024,United States,2019,5,12 month-ending,05/31/2019,0.5652522017614091,0.9947657253865096,0.1317829457364341,,1,0,1,0,0,0,0,0,0,0,0
10/06/2024,United States,2019,6,12 month-ending,06/30/2019,0.5764611689351481,0.9919274606873607,0.13530655391120505,,1,0,1,0,0,0,0,0,0,0,0
10/06/2024,United States,2019,7,12 month-ending,07/31/2019,0.577261809447558,0.9931547110985836,0.13530655391120505,,1,0,1,0,0,0,0,0,0,0,0
10/06/2024,United States,2019,8,12 month-ending,08/31/2019,0.5788630904723778,0.9923435136626556,0.13530655391120505,,1,0,1,0,0,0,0,0,0,0,0
10/06/2024,United States,2019,9,12 month-ending,09/30/2019,0.5836669335468374,0.9931398898730005,0.13671599718111344,,1,0,1,0,0,0,0,0,0,0,0
10/06/2024,United States,2019,10,12 month-ending,10/31/2019,0.5916733386709367,0.9926806965446694,0.138830162085976,,1,0,1,0,0,0,0,0,0,0,0
10/06/2024,United States,2019,11,12 month-ending,11/30/2019,0.6020816653322658,0.9898707509729736,0.1416490486257928,,1,0,1,0,0,0,0,0,0,0,0
10/06/2024,United States,2019,12,12 month-ending,12/31/2019,0.6036829463570856,0.9893509494185976,0.1416490486257928,,1,0,1,0,0,0,0,0,0,0,0
10/06/2024,United States,2020,1,12 month-ending,01/31/2020,0.5924739791833467,0.9877232612518906,0.13953488372093023,,1,0,1,0,0,0,0,0,0,0,0
10/06/2024,United States,2020,2,12 month-ending,02/29/2020,0.5924739791833467,0.9884354740741034,0.13953488372093023,,1,0,1,0,0,0,0,0,0,0,0
10/06/2024,United States,2020,3,12 month-ending,03/31/2020,0.6012810248198558,0.9877441697665523,0.1416490486257928,,1,0,1,0,0,0,0,0,0,0,0
10/06/2024,United States,2020,4,12 month-ending,04/30/2020,0.6140912730184147,0.9855027240618627,0.14446793516560957,,1,0,1,0,0,0,0,0,0,0,0
